Year,Attribute,Value
2017-18,NSW,16.83
2017-18,VIC,13.82
2017-18,QLD,34.24
2017-18,SA,14.3
2017-18,WA,31.97
2017-18,TAS,-12.57
2017-18,NT,51.99
2017-18,ACT,2.89
2018-19,NSW,14.94
2018-19,VIC,13.12
2018-19,QLD,31.89
2018-19,SA,12.81
2018-19,WA,33.83
2018-19,TAS,-8.06
2018-19,NT,82.25
2018-19,ACT,2.8
2019-20,NSW,14.46
2019-20,VIC,12.82
2019-20,QLD,29.75
2019-20,SA,13.34
2019-20,WA,30.87
2019-20,TAS,-9.62
2019-20,NT,78.15
2019-20,ACT,2.71
2020-21,NSW,13.23
2020-21,VIC,11.97
2020-21,QLD,27.7
2020-21,SA,10.96
2020-21,WA,27.69
2020-21,TAS,-6.35
2020-21,NT,66.09
2020-21,ACT,2.92
2021-22,NSW,13.23
2021-22,VIC,12.52
2021-22,QLD,24.17
2021-22,SA,8.8
2021-22,WA,31.02
2021-22,TAS,-8.14
2021-22,NT,95.58
2021-22,ACT,2.83
2022-23,NSW,13.83
2022-23,VIC,12.48
2022-23,QLD,23.7
2022-23,SA,8.83
2022-23,WA,31.38
2022-23,TAS,-8.61
2022-23,NT,93.64
2022-23,ACT,2.96